Application started at 2024-05-28 18:15:50
Main menu at 2024-05-28 18:15:50
Table menu at 2024-05-28 18:16:24
Clear all tables at 2024-05-28 18:16:29
Table menu at 2024-05-28 18:16:33
Show tables at 2024-05-28 18:16:35
Table menu at 2024-05-28 18:16:36
Generate seating plan at 2024-05-28 18:16:40
Table menu at 2024-05-28 18:16:42
Show tables at 2024-05-28 18:16:43
Table menu at 2024-05-28 18:16:55
Show tables at 2024-05-28 18:17:48
Edit table at 2024-05-28 18:17:57
Table menu at 2024-05-28 18:18:07
Show tables at 2024-05-28 18:18:11
Edit table at 2024-05-28 18:19:21
Show guests at 2024-05-28 18:19:27
Show guests at 2024-05-28 18:19:42
Table menu at 2024-05-28 18:20:43
Show tables at 2024-05-28 18:20:52
Edit table at 2024-05-28 18:20:54
Show guests at 2024-05-28 18:20:59
Show guests at 2024-05-28 18:21:09
Show vendors at 2024-05-28 18:21:21
Table menu at 2024-05-28 18:22:06
Show tables at 2024-05-28 18:22:10
Edit table at 2024-05-28 18:22:20
Table menu at 2024-05-28 18:23:13
Show tables at 2024-05-28 18:23:16
Table menu at 2024-05-28 18:23:55
